mol_id_a,mol_id_b,mol_id_c,x_a,x_b,x_c,dn_linear,dn_feature
230,3381,21380,0.35000000000000003,0.30000000000000004,0.34999999999999987,36.2817333475609,33.44124660846557
230,3381,21380,0.35000000000000003,0.35000000000000003,0.2999999999999999,36.28709791004684,33.44124660846557
230,3381,21380,0.35000000000000003,0.4,0.2499999999999999,36.29246247253278,33.44124660846557
230,3381,21380,0.35000000000000003,0.45,0.1999999999999999,36.29782703501872,33.44127854941662
230,3381,21380,0.35000000000000003,0.5,0.1499999999999999,36.303191597504664,33.44127854941662
230,3381,21380,0.35000000000000003,0.55,0.09999999999999987,36.3085561599906,33.42755773839831
230,3381,21380,0.35000000000000003,0.6000000000000001,0.04999999999999982,36.31392072247655,33.42755773839831
230,3381,21380,0.35000000000000003,0.65,0.0,36.31928528496249,33.42476406016487
230,3381,21380,0.4,0.0,0.6,36.28303639731869,33.639504316980116
230,3381,21380,0.4,0.05,0.5499999999999999,36.288400959804626,33.639504316980116
230,3381,21380,0.4,0.1,0.5,36.29376552229057,33.51984004029532
230,3381,21380,0.4,0.15000000000000002,0.44999999999999996,36.299130084776515,33.52110174174472
230,3381,21380,0.4,0.2,0.39999999999999997,36.30449464726245,33.453703122176904
230,3381,21380,0.4,0.25,0.35,36.309859209748396,33.45010621828094
230,3381,21380,0.4,0.30000000000000004,0.29999999999999993,36.31522377223433,33.45010621828094
230,3381,21380,0.4,0.35000000000000003,0.24999999999999994,36.32058833472027,33.45010621828094
230,3381,21380,0.4,0.4,0.19999999999999996,36.325952897206214,33.450138159232
230,3381,21380,0.4,0.45,0.14999999999999997,36.33131745969215,33.4568026096811
230,3381,21380,0.4,0.5,0.09999999999999998,36.336682022178096,33.4568026096811
230,3381,21380,0.4,0.55,0.04999999999999993,36.34204658466403,33.42755773839831
230,3381,21380,0.4,0.6000000000000001,0.0,36.347411147149984,33.42476406016487
230,3381,21380,0.45,0.0,0.55,36.31652682199211,33.57669805060352
230,3381,21380,0.45,0.05,0.5,36.32189138447806,33.57693285684356
230,3381,21380,0.45,0.1,0.45000000000000007,36.327255946964,33.45726858015876
230,3381,21380,0.45,0.15000000000000002,0.4,36.33262050944994,33.45726858015876
230,3381,21380,0.45,0.2,0.35000000000000003,36.33798507193588,33.448965967854726
230,3381,21380,0.45,0.25,0.30000000000000004,36.34334963442182,33.38156734828691
230,3381,21380,0.45,0.30000000000000004,0.25,36.348714196907764,33.38156734828691
230,3381,21380,0.45,0.35000000000000003,0.2,36.3540787593937,33.39838505095184
230,3381,21380,0.45,0.4,0.15000000000000002,36.35944332187964,33.39838505095184
230,3381,21380,0.45,0.45,0.10000000000000003,36.36480788436558,33.39838505095184
230,3381,21380,0.45,0.5,0.050000000000000044,36.37017244685153,33.434675642184
230,3381,21380,0.45,0.55,0.0,36.375537009337464,33.4292504144264
230,3381,21380,0.5,0.0,0.5,36.350017246665544,33.57699343890732
230,3381,21380,0.5,0.05,0.45,36.35538180915148,33.57699343890732
230,3381,21380,0.5,0.1,0.4,36.360746371637426,33.457563968462566
230,3381,21380,0.5,0.15000000000000002,0.35,36.36611093412337,33.45417977843601
230,3381,21380,0.5,0.2,0.3,36.37147549660931,33.45417977843601
230,3381,21380,0.5,0.25,0.25,36.376840059095244,33.47065611481443
230,3381,21380,0.5,0.30000000000000004,0.19999999999999996,36.38220462158119,33.40328943619767
230,3381,21380,0.5,0.35000000000000003,0.14999999999999997,36.387569184067125,33.40328943619767
230,3381,21380,0.5,0.4,0.09999999999999998,36.39293374655307,33.39763145167564
230,3381,21380,0.5,0.45,0.04999999999999999,36.398298309039006,33.39763145167564
230,3381,21380,0.5,0.5,0.0,36.40366287152495,33.36348488062947
