mol_id,smiles,dn_pred_rf,dn_pred_xgb,dn_pred_ens,MW,LogP,TPSA,Nrot,SA
1260,CCNCCN,29.808075029331345,29.836132,29.825165285462127,88.15400000000001,-0.4454000000000002,38.05,3,1.84
1261,CN(C)CCN,29.48836712741304,29.431164,29.45088364811825,88.15400000000001,-0.4932999999999998,29.259999999999998,2,1.66
1292,CN(C)CO,25.39175524857664,25.296904,25.36134919176945,75.11099999999999,-0.5022000000000002,23.47,1,1.43
1295,CNCN(C)C,29.335578570162635,29.28105,29.305442703828383,88.154,-0.2751000000000001,15.27,2,1.66
1297,CN(C)CN(C)C,29.44109878151765,29.529402,29.493219701298898,102.18099999999998,0.06709999999999994,6.48,2,1.71
1298,CN(C)CN1CC1,29.40700061076347,29.269606,29.339419224714554,100.16499999999999,-0.17890000000000006,6.25,2,2.21
1314,CN(C)CC(O)O,25.221152881301983,25.333418,25.282981760392808,105.13699999999997,-1.1413,43.7,2,1.71
1320,CNCO,25.157774326120663,25.409204,25.26980484575533,61.084,-0.8444,32.26,1,1.38
1325,CNCN1CC1,29.285436350293228,29.263817,29.269345408985252,86.138,-0.5211000000000001,15.04,2,2.16
1341,CNCC(O)O,24.527884606743086,24.52216,24.530362930448923,91.10999999999999,-1.4835000000000003,52.489999999999995,2,1.66
1346,CC(C)NCCN,30.103649808485542,30.230246,30.1665751935749,102.18100000000001,-0.056900000000000284,38.05,3,1.8900000000000001
1353,NCCNN,29.876076399118624,30.094849,29.954685206408907,75.115,-1.5915999999999997,64.07,2,1.6099999999999999
1354,CNNCCN,30.60416664978016,30.681414,30.65147422196054,89.14200000000002,-1.3308999999999993,50.08,3,1.84
1355,CCNNCCN,31.10162808174662,31.20316,31.162480630086066,103.16900000000001,-0.9407999999999994,50.08,4,2.07
1356,CN(C)NCCN,30.858452129687617,30.974594,30.90360200754063,103.16900000000001,-0.9886999999999988,41.29,3,1.8900000000000001
1357,NCCNN1CC1,30.84665976189805,30.82146,30.82736489279107,101.15299999999999,-1.2346999999999995,41.059999999999995,3,2.39
1360,NCCNC=O,27.041908636268555,27.042303,27.031701861766596,88.10999999999999,-1.3089000000000004,55.12,3,1.84
1365,N#CNCCN,29.277080763732155,29.029966,29.166930917048553,85.11000000000001,-0.9842200000000001,61.84,2,1.66
1366,NCCNS,29.39046663472072,29.659164,29.537910058999774,92.16699999999999,-0.6205000000000002,38.05,2,1.6099999999999999
1371,NCCNc1ccncc1,31.5389701483774,31.741468,31.652206925012443,137.18599999999998,0.45219999999999955,50.94,3,4.04
1372,NCCNc1cnccn1,32.04455600362459,32.264435,32.15231739408554,138.17399999999998,-0.1528000000000005,63.83,3,4.04
1376,NCCNC1CCNC1,31.108488604411704,31.009865,31.062724683835924,129.207,-1.1033999999999993,50.08,3,2.49
1378,NCCNC(O)O,26.481707025123008,26.39218,26.44167472336133,106.12499999999997,-2.1970999999999994,78.51,3,1.8900000000000001
1394,CCNNCCCCN,31.226451115032905,31.291483,31.26786256676577,131.22299999999998,-0.16059999999999952,50.08,6,2.5300000000000002
1411,NCCCCNc1cnccn1,32.264316687735715,32.398567,32.3326797774769,166.228,0.6273999999999997,63.83,5,4.5
1435,C1CNC(N2CC2)C1,29.402506960085898,29.38189,29.39309822234094,112.176,0.011500000000000066,15.04,1,2.5799999999999996
