run,rank,feature
4,170,VSA_EState5
4,171,EState_VSA4
4,172,morgan_302
4,173,fr_imidazole
4,174,SlogP_VSA6
4,175,morgan_62
4,176,maccs_132
4,177,RingCount
4,178,EState_VSA5
4,179,fr_ether
4,180,fr_C_O
4,181,HeavyAtomCount
4,182,SMR_VSA7
4,183,PEOE_VSA5
4,184,fr_pyridine
4,185,maccs_165
4,186,morgan_77
4,187,maccs_106
4,188,maccs_148
4,189,maccs_102
4,190,n_heavy
4,191,maccs_135
4,192,maccs_124
4,193,fr_C_O_noCOO
4,194,NHOHCount
4,195,maccs_60
4,196,morgan_123
4,197,maccs_133
4,198,PEOE_VSA12
4,199,NumAliphaticRings
4,200,maccs_154
