mol_id_a,mol_id_b,x_a,x_b,dn_linear,dn_feature,dn_feature_minus_linear
3381,21371,0.35000000000000003,0.6499999999999999,35.96234027703008,29.2224323989626,-6.739907878067481
3381,21371,0.4,0.6,35.97465289030855,29.224193240985173,-6.750459649323375
3381,21371,0.45,0.55,35.98696550358701,29.224193240985173,-6.762772262601835
3381,21371,0.5,0.5,35.99927811686547,29.225268765381088,-6.774009351484381
3381,21371,0.55,0.44999999999999996,36.01159073014393,29.246032160528095,-6.765558569615834
3381,21371,0.6000000000000001,0.3999999999999999,36.02390334342239,29.238902463086973,-6.785000880335417
3381,21371,0.65,0.35,36.03621595670085,29.191177596311256,-6.845038360389594
3381,21371,0.7000000000000001,0.29999999999999993,36.04852856997931,29.191177596311256,-6.857350973668055
3381,21371,0.75,0.25,36.06084118325777,29.191177596311256,-6.8696635869465155
3381,21371,0.8,0.19999999999999996,36.07315379653624,29.191177596311256,-6.881976200224983
3381,21371,0.8500000000000001,0.1499999999999999,36.0854664098147,29.191177596311256,-6.894288813503444
3381,21371,0.9,0.09999999999999998,36.09777902309316,29.191177596311256,-6.906601426781904
3381,21371,0.9500000000000001,0.04999999999999993,36.11009163637162,29.187712435584068,-6.922379200787553
3381,21371,1.0,0.0,36.12240424965008,29.178561452059352,-6.9438427975907295
3381,21363,0.0,1.0,35.83905630597516,28.946937587561045,-6.8921187184141175
3381,21363,0.05,0.95,35.85322370315891,28.948220458779335,-6.905003244379575
3381,21363,0.1,0.9,35.86739110034266,28.8071088319399,-7.060282268402759
3381,21363,0.15000000000000002,0.85,35.8815584975264,28.851152280840516,-7.030406216685883
3381,21363,0.2,0.8,35.89572589471015,28.85134850864595,-7.044377386064198
3381,21363,0.25,0.75,35.909893291893894,28.85134850864595,-7.058544783247946
3381,21363,0.30000000000000004,0.7,35.924060689077635,28.85134850864595,-7.072712180431687
3381,21363,0.35000000000000003,0.6499999999999999,35.93822808626138,29.19683424462772,-6.741393841633663
3381,21363,0.4,0.6,35.95239548344513,29.199475186373732,-6.752920297071398
3381,21363,0.45,0.55,35.96656288062888,29.19882859157691,-6.767734289051969
3381,21363,0.5,0.5,35.980730277812626,29.199928971666974,-6.780801306145651
3381,21363,0.55,0.44999999999999996,35.994897674996366,29.205722150081492,-6.789175524914874
3381,21363,0.6000000000000001,0.3999999999999999,36.009065072180114,29.226966941153712,-6.782098131026402
3381,21363,0.65,0.35,36.02323246936386,29.179242074377996,-6.843990394985866
3381,21363,0.7000000000000001,0.29999999999999993,36.0373998665476,29.179242074377996,-6.858157792169607
3381,21363,0.75,0.25,36.05156726373135,29.179038788735458,-6.872528474995892
3381,21363,0.8,0.19999999999999996,36.0657346609151,29.185409429495575,-6.880325231419523
3381,21363,0.8500000000000001,0.1499999999999999,36.079902058098845,29.185409429495575,-6.89449262860327
3381,21363,0.9,0.09999999999999998,36.094069455282586,29.177801109007213,-6.916268346275373
