mol_id,smiles,dn_rf,dn_empirical,dn_final,confidence,is_anchor
887,OCCOc1cnccn1,27.949000000000044,26.05770620057672,26.986789927664976,high,False
888,OCCOC1CCOC1,18.128600000000002,18.437442657686667,18.282369183564217,high,False
889,OCCOC1CCNC1,28.480800000000023,22.96788649575794,25.57623470545231,medium,False
890,CCC(O)OCCO,19.489,18.3936631808256,18.933412310809434,high,False
891,OCCOC(O)O,19.46440000000001,16.857212676099998,18.113959545408093,medium,False
892,CC(O)OCCO,19.646400000000007,18.409915983543403,19.018111719597382,high,False
893,COP(=O)(OC)OCCO,17.282000000000018,14.880107885262944,16.03614743238271,medium,False
894,COCCCO,20.605199999999993,19.999724826375548,20.300205171190594,high,False
895,CCOCCCO,20.638400000000004,20.006977515875235,20.3202363363136,high,False
896,CCCOCCCO,20.430200000000006,20.020772831868143,20.224450378431367,high,False
897,CCCCOCCCO,20.027000000000005,20.03542118343948,20.031210149183263,high,False
898,CC(C)OCCCO,19.972600000000007,20.013209326510985,19.992894352611216,high,False
899,CC(C)(C)OCCCO,18.883400000000005,20.01757338786991,19.442218117090004,high,False
900,NOCCCO,26.049600000000044,22.88982572437706,24.418656887505783,high,False
901,CNOCCCO,27.560600000000054,22.873332653626033,25.107822923015984,medium,False
902,CCNOCCCO,28.96420000000004,22.886919496977995,25.746869978589068,medium,False
903,CN(C)OCCCO,28.43640000000005,22.8625949817446,25.497644909655545,medium,False
904,OCCCON1CC1,28.238800000000037,22.877972344817273,25.417444510627476,medium,False
905,OCCCOF,18.79380000000002,16.222417713226548,17.46083829656633,medium,False
906,OCCCOCl,20.94220000000001,20.03252796381758,20.48231449626386,high,False
907,CC(=O)OCCCO,17.959400000000027,18.275057168107324,18.116541107642682,high,False
908,O=C(O)OCCCO,17.229600000000005,16.785797384103518,17.006251045105447,high,False
909,NC(=O)OCCCO,26.22960000000004,21.283341661352857,23.62738958159834,medium,False
910,CNC(=O)OCCCO,28.02800000000004,21.224247194491983,24.3900225577432,low,False
911,N#COCCCO,24.930200000000067,23.038337818761363,23.965608055905573,high,False
912,OCCCOS,21.484799999999996,19.978724886914723,20.718081678823097,high,False
913,CSOCCCO,21.481199999999998,19.960724479737433,20.707011244844963,high,False
914,CS(=O)OCCCO,21.305399999999995,18.11065325765728,19.643184872003097,medium,False
915,CS(=O)(=O)OCCCO,19.80960000000001,16.454537746639165,18.054301729666072,medium,False
916,OCCCOc1ccccc1,17.97300000000001,20.139880970736975,19.02561643382563,high,False
917,OCCCOc1ccncc1,29.675800000000027,23.02145385106279,26.13771336963832,medium,False
918,OCCCOc1cnccn1,28.167400000000033,26.031713688875357,27.0785097846988,high,False
919,OCCCOC1CC1,18.573600000000006,20.000920326327957,19.274052344358854,high,False
920,OCCCOC1CCOC1,18.551600000000004,18.416208906857584,18.483780488754437,high,False
921,OCCCOC1CCNC1,28.56160000000003,22.947247631967333,25.600978652489026,medium,False
922,CCC(O)OCCCO,19.388800000000003,18.3652873017409,18.870105522651272,high,False
923,OCCCOC(O)O,19.339600000000004,16.823456449018476,18.03770823418091,high,False
