id,source_db,smiles,name,cas,formula,sigma_ion_S_cm,E_g_eV,migration_barrier_eV,space_group,icsd_id,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,family,doi,license,notes
SUP-0377,McHaffie_superionic,,Li2(OH)Br,,Li2(OH)Br,1.2e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0378,McHaffie_superionic,,LiBO2,,LiBO2,2.07e-13,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0379,McHaffie_superionic,,(K0.1Li0.9)(SbO3),,(K0.1Li0.9)(SbO3),1.36e-08,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0380,McHaffie_superionic,,LiZr2(PO4)3,,LiZr2(PO4)3,1.15e-10,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0381,McHaffie_superionic,,Li6CoCl8,,Li6CoCl8,4.6e-09,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0382,McHaffie_superionic,,Li2CrCl4,,Li2CrCl4,5.66e-13,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0383,McHaffie_superionic,,Li6PS5Br,,Li6PS5Br,0.000701,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0384,McHaffie_superionic,,Li6.025P0.975Si0.025S5Br,,Li6.025P0.975Si0.025S5Br,0.000878,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0385,McHaffie_superionic,,Li6.05P0.95Si0.05S5Br,,Li6.05P0.95Si0.05S5Br,0.000437,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0386,McHaffie_superionic,,Li6.075P0.925Si0.075S5Br,,Li6.075P0.925Si0.075S5Br,0.000873,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0387,McHaffie_superionic,,Li6.1P0.95Si0.1S5Br,,Li6.1P0.95Si0.1S5Br,0.000799,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
